date,symbol,yahoo_symbol,market,adj_open,adj_high,adj_low,adj_close,volume,adjustment_factor
2017-11-24,8499,8499.TW,上市,103.955898,136.335604,103.955898,134.631409,3434400,0.6816780187
2017-11-27,8499,8499.TW,上市,125.258351,128.666742,119.719717,121.423912,1630964,0.6816781027
2017-11-28,8499,8499.TW,上市,123.980194,124.406242,115.459218,124.406242,968236,0.6816780404
2017-11-29,8499,8499.TW,上市,125.258339,138.039802,120.997851,132.075119,1173600,0.6816780336
2017-11-30,8499,8499.TW,上市,127.814633,133.779315,123.980194,124.406242,860000,0.6816780404
2017-12-01,8499,8499.TW,上市,126.110426,126.110426,112.050818,113.328964,897064,0.6816779804
2017-12-04,8499,8499.TW,上市,110.77268,111.624777,105.234046,106.086143,533680,0.6816780305
2017-12-05,8499,8499.TW,上市,104.807985,104.807985,95.860962,95.860962,651280,0.6816779514
2017-12-06,8499,8499.TW,上市,95.434932,103.52986,95.434932,98.843323,428856,0.681678088
2017-12-07,8499,8499.TW,上市,98.84332,98.84332,93.730734,95.008881,297720,0.6816780672
2017-12-08,8499,8499.TW,上市,95.008885,95.434934,86.487909,91.600494,364199,0.6816780977
2017-12-11,8499,8499.TW,上市,90.748375,93.730715,88.192082,91.174423,191440,0.6816779306
2017-12-12,8499,8499.TW,上市,92.452588,98.84332,90.322344,94.582832,358400,0.6816780709
2017-12-13,8499,8499.TW,上市,92.87862,94.582815,88.192084,89.47023,407472,0.6816779436
2017-12-14,8499,8499.TW,上市,89.896279,92.026522,88.192084,89.47023,208080,0.6816779436
2017-12-15,8499,8499.TW,上市,90.322337,90.322337,87.766045,87.766045,139280,0.6816780164
2017-12-18,8499,8499.TW,上市,87.766035,91.174425,87.766035,89.47023,104904,0.6816779436
2017-12-19,8499,8499.TW,上市,89.47024,89.896288,87.339996,87.766045,120000,0.6816780164
2017-12-20,8499,8499.TW,上市,88.192092,96.287018,87.339994,96.287018,441600,0.6816780023
2017-12-21,8499,8499.TW,上市,96.287017,99.269359,92.878627,96.713066,439240,0.681677999
2017-12-22,8499,8499.TW,上市,96.287028,96.287028,93.730735,94.582832,164960,0.6816780709
2017-12-25,8499,8499.TW,上市,94.58283,95.434927,90.322342,90.322342,211360,0.6816780522
2017-12-26,8499,8499.TW,上市,90.322337,91.174434,87.339995,88.192093,182768,0.6816780127
2017-12-27,8499,8499.TW,上市,88.618148,90.748392,88.618148,89.044197,87280,0.6816780638
2017-12-28,8499,8499.TW,上市,89.04419,89.04419,88.192093,88.192093,80104,0.6816780127
2017-12-29,8499,8499.TW,上市,88.618134,90.748377,88.618134,88.618134,112024,0.6816779503
2018-01-02,8499,8499.TW,上市,88.618143,88.618143,86.06185,87.339996,132000,0.6816780202
2018-01-03,8499,8499.TW,上市,87.766045,89.044191,87.339996,87.766045,94464,0.6816780164
2018-01-04,8499,8499.TW,上市,87.766044,89.04419,87.766044,88.192093,56000,0.6816780127
2018-01-05,8499,8499.TW,上市,88.192087,88.192087,86.91394,86.91394,77684,0.6816779642
2018-01-08,8499,8499.TW,上市,87.339991,92.878624,87.339991,92.452576,312952,0.6816779774
2018-01-09,8499,8499.TW,上市,90.748377,91.600475,88.618134,88.618134,176841,0.6816779503
2018-01-10,8499,8499.TW,上市,88.618135,88.618135,86.91394,86.91394,120870,0.6816779642
2018-01-11,8499,8499.TW,上市,86.913958,87.766055,82.653469,82.994308,201846,0.6816780983
2018-01-12,8499,8499.TW,上市,83.079518,84.783713,82.994308,82.994308,154480,0.6816780983
2018-01-15,8499,8499.TW,上市,82.994293,82.994293,77.881708,78.819016,329800,0.6816779719
2018-01-16,8499,8499.TW,上市,78.989446,81.375319,78.989446,81.11969,118400,0.6816780667
2018-01-17,8499,8499.TW,上市,81.119678,82.653454,80.097161,81.886566,116824,0.6816779701
2018-01-18,8499,8499.TW,上市,82.65346,82.65346,80.523216,80.523216,72016,0.6816780211
2018-01-19,8499,8499.TW,上市,81.119684,81.716152,80.949265,80.949265,67200,0.6816780171
2018-01-22,8499,8499.TW,上市,81.375314,81.375314,79.415489,79.415489,72824,0.6816780189
2018-01-23,8499,8499.TW,上市,79.5007,80.097168,79.41549,80.097168,64040,0.6816780253
2018-01-24,8499,8499.TW,上市,80.52321,80.52321,78.733806,78.819016,36800,0.6816779719
2018-01-25,8499,8499.TW,上市,78.819017,78.819017,77.114822,77.540871,115200,0.6816779839
2018-01-26,8499,8499.TW,上市,77.540881,77.540881,76.944412,76.944412,61822,0.6816780707
2018-01-29,8499,8499.TW,上市,79.07463,79.07463,75.83666,77.966904,62456,0.6816778464
2018-01-30,8499,8499.TW,上市,76.944412,76.944412,75.836685,75.836685,36257,0.681678069
2018-01-31,8499,8499.TW,上市,74.984591,82.057001,72.002249,80.778854,302400,0.681678096
2018-02-01,8499,8499.TW,上市,80.438013,82.653466,78.563398,81.801369,258481,0.6816780726
2018-02-02,8499,8499.TW,上市,80.949266,80.949266,78.819023,79.245071,77600,0.6816780336
2018-02-05,8499,8499.TW,上市,76.688769,76.944399,75.154994,76.773979,92000,0.6816779506
2018-02-06,8499,8499.TW,上市,73.706433,78.392969,71.576189,72.513496,173600,0.681677992
2018-02-07,8499,8499.TW,上市,73.962058,74.984575,71.746605,71.746605,85640,0.6816779565
2018-02-08,8499,8499.TW,上市,71.746613,72.76913,71.746613,72.428291,60800,0.681678036
2018-02-09,8499,8499.TW,上市,70.724089,72.428284,69.957201,70.894508,69680,0.681677965
2018-02-12,8499,8499.TW,上市,72.428292,73.536019,71.746614,73.10997,68024,0.6816780428
2018-02-21,8499,8499.TW,上市,74.814161,74.814161,73.706434,73.876854,32000,0.6816780064
2018-02-22,8499,8499.TW,上市,74.21769,74.388109,73.365592,74.21769,42400,0.6816779749
2018-02-23,8499,8499.TW,上市,74.814165,78.819024,74.814165,78.392975,136078,0.6816780422
2018-02-26,8499,8499.TW,上市,78.478179,78.478179,75.410628,75.581047,101600,0.6816779893
2018-02-27,8499,8499.TW,上市,75.836685,75.836685,74.728958,74.728958,28800,0.6816780673
2018-03-01,8499,8499.TW,上市,75.581043,76.433141,74.643736,74.814156,85600,0.6816779552
2018-03-02,8499,8499.TW,上市,74.814157,75.069787,74.132479,74.643738,43200,0.6816779707
2018-03-05,8499,8499.TW,上市,74.814161,75.06979,74.302902,74.302902,19208,0.681678002
2018-03-06,8499,8499.TW,上市,74.388113,74.814162,74.388113,74.558533,36800,0.6816780134
2018-03-07,8499,8499.TW,上市,74.388107,74.728946,73.28038,73.28038,75220,0.6816779558
2018-03-08,8499,8499.TW,上市,73.28038,73.706429,73.28038,73.28038,40904,0.6816779558
2018-03-09,8499,8499.TW,上市,74.132484,74.899372,73.962065,74.132484,35200,0.6816780178
2018-03-12,8499,8499.TW,上市,73.706428,75.836672,73.706428,75.666252,97600,0.6816779472
2018-03-13,8499,8499.TW,上市,76.092314,76.092314,74.984587,75.155006,35200,0.6816780627
2018-03-14,8499,8499.TW,上市,75.410628,76.603565,75.410628,76.262726,38440,0.6816779962
2018-03-15,8499,8499.TW,上市,76.092311,76.262731,75.581052,76.177521,22400,0.681678038
2018-03-16,8499,8499.TW,上市,76.603548,79.841518,76.262709,77.966904,135206,0.6816778464
2018-03-19,8499,8499.TW,上市,78.052138,78.819026,77.626089,77.796509,52008,0.6816780617
2018-03-20,8499,8499.TW,上市,77.285241,77.62608,76.859192,76.859192,29600,0.6816779769
2018-03-21,8499,8499.TW,上市,76.859204,77.540882,76.859204,77.200043,17600,0.6816780815
2018-03-22,8499,8499.TW,上市,77.370456,77.796505,76.433149,77.455666,52800,0.681678025
2018-03-23,8499,8499.TW,上市,75.751476,75.836686,74.984589,74.984589,75200,0.6816780784
2018-03-26,8499,8499.TW,上市,76.007106,78.733818,76.007106,77.200043,82440,0.6816780815
2018-03-27,8499,8499.TW,上市,77.626083,84.868912,77.626083,84.868912,320833,0.681678006
2018-03-28,8499,8499.TW,上市,88.192091,92.878627,86.487896,89.896286,886907,0.6816779982
2018-03-29,8499,8499.TW,上市,87.339989,88.192087,84.954116,86.91394,352320,0.6816779642
2018-03-30,8499,8499.TW,上市,87.766032,87.766032,85.20974,85.20974,162400,0.6816779175
2018-04-02,8499,8499.TW,上市,83.249916,86.913934,83.249916,85.20974,125832,0.6816779175
2018-04-03,8499,8499.TW,上市,84.868924,84.868924,83.079519,83.675987,99200,0.6816781038
2018-04-09,8499,8499.TW,上市,84.357647,84.783696,83.079501,83.164711,50542,0.681677959
2018-04-10,8499,8499.TW,上市,84.016808,84.102018,82.823872,83.164711,85600,0.681677959
2018-04-11,8499,8499.TW,上市,83.164713,83.420342,81.375308,81.460518,84828,0.6816779739
2018-04-12,8499,8499.TW,上市,81.46053,81.801369,81.034481,81.37532,52040,0.6816780769
2018-04-13,8499,8499.TW,上市,81.545739,82.056998,81.37532,81.801369,53600,0.6816780726
2018-04-16,8499,8499.TW,上市,83.079501,83.079501,81.971774,82.056984,30480,0.681677956
2018-04-17,8499,8499.TW,上市,81.801364,81.801364,79.074652,79.245071,73644,0.6816780336
2018-04-18,8499,8499.TW,上市,79.330274,80.52321,78.648596,78.819016,49640,0.6816779719
2018-04-19,8499,8499.TW,上市,78.819013,79.245061,78.733803,78.733803,37640,0.6816779463
2018-04-20,8499,8499.TW,上市,78.733803,78.819013,78.392964,78.733803,28802,0.6816779463
2018-04-23,8499,8499.TW,上市,79.074654,79.074654,76.347941,76.433151,76800,0.681678049
2018-04-24,8499,8499.TW,上市,77.029608,77.029608,75.325413,75.666252,40835,0.6816779472
2018-04-25,8499,8499.TW,上市,76.433139,76.603558,74.984573,75.410622,20808,0.6816779358
2018-04-26,8499,8499.TW,上市,76.26273,76.26273,75.410632,75.495842,34400,0.6816780314
2018-04-27,8499,8499.TW,上市,75.325422,75.495842,74.984583,75.495842,20000,0.6816780314
2018-04-30,8499,8499.TW,上市,75.495841,76.688778,75.495841,76.347939,8800,0.6816780227
2018-05-02,8499,8499.TW,上市,76.347939,76.347939,75.666261,76.347939,15280,0.6816780227
2018-05-03,8499,8499.TW,上市,76.347939,76.433148,76.0071,76.347939,14400,0.6816780227
2018-05-04,8499,8499.TW,上市,75.154992,75.410622,75.154992,75.410622,4000,0.6816779358
2018-05-07,8499,8499.TW,上市,75.836682,78.904233,75.836682,77.285248,30400,0.6816780402
2018-05-08,8499,8499.TW,上市,77.45567,77.540879,76.688782,76.688782,20004,0.6816780599
2018-05-09,8499,8499.TW,上市,76.17752,78.222554,76.17752,77.029617,15401,0.6816780293
2018-05-10,8499,8499.TW,上市,76.688774,76.688774,74.984579,75.581047,55200,0.6816779893
2018-05-11,8499,8499.TW,上市,77.285247,77.285247,75.069794,75.069794,27200,0.6816780359
2018-05-14,8499,8499.TW,上市,73.962075,73.962075,71.576202,72.002251,116800,0.6816781129
2018-05-15,8499,8499.TW,上市,71.576189,72.002238,69.871994,69.871994,102440,0.6816779904
2018-05-16,8499,8499.TW,上市,69.871991,71.405766,69.531152,70.21283,44800,0.6816779572
2018-05-17,8499,8499.TW,上市,73.280387,73.280387,70.383255,70.383255,68040,0.6816780146
2018-05-18,8499,8499.TW,上市,71.576184,72.428281,71.320555,71.917023,26400,0.6816779403
2018-05-21,8499,8499.TW,上市,72.002251,72.513509,72.002251,72.002251,28000,0.6816781129
2018-05-22,8499,8499.TW,上市,72.002236,72.002236,71.064929,71.576187,44000,0.6816779727
2018-05-23,8499,8499.TW,上市,71.576195,71.576195,70.468468,70.468468,19200,0.6816780432
2018-05-24,8499,8499.TW,上市,70.468462,70.468462,69.957203,70.298042,25600,0.6816779859
