date,symbol,yahoo_symbol,market,open,high,low,close,volume
2026-02-05,7823,7823.TW,上市,165.0,165.0,146.0,148.0,815000
2026-02-06,7823,7823.TW,上市,150.0,150.0,110.0,131.0,610174
2026-02-09,7823,7823.TW,上市,128.5,128.5,110.0,113.5,354102
2026-02-10,7823,7823.TW,上市,113.5,113.5,106.5,109.5,260512
2026-02-11,7823,7823.TW,上市,109.0,110.0,101.0,104.5,244009
2026-02-23,7823,7823.TW,上市,102.0,107.0,95.0,97.0,267200
2026-02-24,7823,7823.TW,上市,95.199997,95.199997,90.099998,90.199997,230010
2026-02-25,7823,7823.TW,上市,93.400002,93.400002,88.0,89.5,141000
2026-02-26,7823,7823.TW,上市,89.5,91.599998,88.900002,90.900002,117000
2026-03-02,7823,7823.TW,上市,89.400002,92.099998,88.900002,91.800003,78000
2026-03-03,7823,7823.TW,上市,92.599998,92.599998,89.5,90.300003,50250
2026-03-04,7823,7823.TW,上市,89.0,89.0,88.199997,88.800003,49000
2026-03-05,7823,7823.TW,上市,88.800003,90.0,88.800003,89.800003,28000
2026-03-06,7823,7823.TW,上市,88.800003,89.0,81.199997,86.0,71080
2026-03-09,7823,7823.TW,上市,80.300003,84.400002,77.699997,82.5,72000
2026-03-10,7823,7823.TW,上市,84.900002,86.699997,82.199997,84.400002,31000
2026-03-11,7823,7823.TW,上市,84.0,84.0,82.5,82.800003,21000
2026-03-12,7823,7823.TW,上市,80.5,82.599998,80.5,82.599998,17000
2026-03-13,7823,7823.TW,上市,82.599998,82.599998,80.800003,82.0,17000
2026-03-16,7823,7823.TW,上市,82.0,82.0,76.0,78.5,94000
2026-03-17,7823,7823.TW,上市,78.900002,85.5,78.900002,83.0,91000
2026-03-18,7823,7823.TW,上市,83.0,83.5,81.900002,82.599998,31003
2026-03-19,7823,7823.TW,上市,80.199997,81.099998,79.5,81.0,25000
2026-03-20,7823,7823.TW,上市,80.199997,81.0,80.0,81.0,16000
2026-03-23,7823,7823.TW,上市,81.0,82.0,80.5,80.699997,20000
2026-03-24,7823,7823.TW,上市,80.5,81.300003,80.5,81.300003,3000
2026-03-25,7823,7823.TW,上市,81.199997,86.5,81.199997,85.800003,23021
2026-03-26,7823,7823.TW,上市,85.5,85.5,82.0,82.5,28000
